,Period,Data-type,Sub-heading1,Sub-heading2,Files
0,Fetal Period (Phase 1),General data,,,FETALPERIOD-ALLGENERALDATA_24102022 Add this file to your basket
1,Fetal Period (Phase 1),General data,,,COHORTPHASE03-PRENATAL_17072015  Add this file to your basket
2,Fetal Period (Phase 1),General data,,,GESTAGEINTAKE_08102012  Add this file to your basket
3,Fetal Period (Phase 1),General data,,,AGEINTAKE_25052016  Add this file to your basket
4,Fetal Period (Phase 1),General data,,,MOTHERAGE_BIRTHCHILD_11062017  Add this file to your basket
5,Fetal Period (Phase 1),General data,,,ANTHROPOMETRYINTAKE_14082017  Add this file to your basket
6,Fetal Period (Phase 1),General data,,,ETHNICITYPARENTAL_22112016  Add this file to your basket
7,Fetal Period (Phase 1),General data,,,SESINTAKE_17072015  Add this file to your basket
8,Fetal Period (Phase 1),General data,,,ZIPCODEBIRTH_22112016  Add this file to your basket
9,Fetal Period (Phase 1),General data,,,PARTUS_17072015  Add this file to your basket
10,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Blood pressure pregnancy,,"MATERNALBLOODPRESSURE_22112016  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
11,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Blood pressure pregnancy,,"PATERNALBLOODPRESSURE_14052020  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
12,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Fetal brain,,"FETALBRAINFOCUS_22112016  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
13,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Fetal circulation,,"FETALCIRCULATION_22112016  Add this file to your basket PI: Vincent Jaddoe , Eric Steegers"
14,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Fetal growth,,"FETALCRL_22112016  Add this file to your basket PI: Vincent Jaddoe , Eric Steegers"
15,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Fetal growth,,"FETALGROWTHLMP_13062019  Add this file to your basket PI: Vincent Jaddoe , Eric Steegers"
16,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Fetal growth,,"FETALGROWTH_22112016  Add this file to your basket PI: Vincent Jaddoe , Eric Steegers"
17,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Fetal growth,,"FETALCIRCULATION_22112016  Add this file to your basket PI: Vincent Jaddoe , Eric Steegers"
18,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Fetal growth,,"CRL-UseContraceptives_22112016  Add this file to your basket PI: Vincent Jaddoe , Eric Steegers"
19,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Fetal kidney,,"CHILDKIDNEY_22112016  Add this file to your basket PI: Vincent Jaddoe , Eric Steegers"
20,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Fetal placenta,,"FETALPLACENTA_22112016  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
21,Fetal Period (Phase 1),Hands on measurements and ultrasounds,Menstrual cycle,,PREGNANCYMENSTRUALCYCLE_2302201.sav Add this file to your basket General
22,Fetal Period (Phase 1),Questionnaires,Mother behaviour combined (fetal period),,GR1003-BSI D1_22112016  Add this file to your basket General
23,Fetal Period (Phase 1),Questionnaires,Mother behaviour combined (fetal period),,GR1003-EMBU I1-I23_22112016  Add this file to your basket General
24,Fetal Period (Phase 1),Questionnaires,Mother behaviour combined (fetal period),,GR1003-Family Assessment Device J1-J12_22112016  Add this file to your basket General
25,Fetal Period (Phase 1),Questionnaires,Mother behaviour combined (fetal period),,"20070423_expressed emotions Focus 30 weken  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
26,Fetal Period (Phase 1),Questionnaires,Mother behaviour combined (fetal period),,"20090505_Focus Cidi - consent fase 2  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
27,Fetal Period (Phase 1),Questionnaires,Mother lifestyle combined (fetal period),,GEDRAGSGROEP_MaternalDrinking_22112016  Add this file to your basket General
28,Fetal Period (Phase 1),Questionnaires,Mother lifestyle combined (fetal period),,MATERNALALCOHOL_22112016  Add this file to your basket General
29,Fetal Period (Phase 1),Questionnaires,Mother lifestyle combined (fetal period),,MATERNALCAFFEINEINTAKE_22112016  Add this file to your basket General
30,Fetal Period (Phase 1),Questionnaires,Mother lifestyle combined (fetal period),,MATERNALFOLICACID_23062010  Add this file to your basket General
31,Fetal Period (Phase 1),Questionnaires,Mother lifestyle combined (fetal period),,MATERNALSMOKING_22112016  Add this file to your basket General
32,Fetal Period (Phase 1),Questionnaires,Mother medication use combined (fetal period),,"MEDICATIONSELFREPORTPREGNANCY_30112017 PI: Pauline Jansen, Manon Hillegers, available on request from datamanagement"
33,Fetal Period (Phase 1),Questionnaires,Mother medication use combined (fetal period),,"MEDICATIONPREGNANCY_BENZIODIAZEPINES_30112017  Add this file to your basket PI: Pauline Jansen, Manon Hillegers"
34,Fetal Period (Phase 1),Questionnaires,Maternal complications pregnancy,,"MATERNALCOMPLICATIONS_22112016  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
35,Fetal Period (Phase 1),Questionnaires,Maternal complications pregnancy,,"MATERNALPE_12122019  Add this file to your basket PI: Vincent Jaddoe, Eric Steegers"
36,Fetal Period (Phase 1),Questionnaires,"Mother 1 (GR1001): medical and family history, previous pregnancies, quality of life, life style habits, housing conditions, ethnicity, educational level",A. This pregnancy,GR1001-A_22112016  Add this file to your basket General
37,Fetal Period (Phase 1),Questionnaires,"Mother 1 (GR1001): medical and family history, previous pregnancies, quality of life, life style habits, housing conditions, ethnicity, educational level",B. Previous pregnancies,GR1001-B4-9_22112016  Add this file to your basket General
38,Fetal Period (Phase 1),Questionnaires,"Mother 1 (GR1001): medical and family history, previous pregnancies, quality of life, life style habits, housing conditions, ethnicity, educational level",C. Your health in this pregnancy,GR1001-C2-13_22112016  Add this file to your basket General
39,Fetal Period (Phase 1),Questionnaires,"Mother 1 (GR1001): medical and family history, previous pregnancies, quality of life, life style habits, housing conditions, ethnicity, educational level",D. General health,GR1001-D1-37_16072021 Add this file to your basketGeneral
40,Fetal Period (Phase 1),Questionnaires,"Mother 1 (GR1001): medical and family history, previous pregnancies, quality of life, life style habits, housing conditions, ethnicity, educational level",D. General health,GR1001_D32-2_chronicdisease_15092021    available upon request from datamanagement
41,Fetal Period (Phase 1),Questionnaires,"Mother 1 (GR1001): medical and family history, previous pregnancies, quality of life, life style habits, housing conditions, ethnicity, educational level",E. Vitamins and medicines,GR1001-E2-3_22112016  Add this file to your basket General
42,Fetal Period (Phase 1),Questionnaires,"Mother 1 (GR1001): medical and family history, previous pregnancies, quality of life, life style habits, housing conditions, ethnicity, educational level",F. Your lifestyle,GR1001-F1-10_22112016  Add this file to your basket General
43,Fetal Period (Phase 1),Questionnaires,"Mother 1 (GR1001): medical and family history, previous pregnancies, quality of life, life style habits, housing conditions, ethnicity, educational level",F. Your lifestyle,GR1001-F11-12_22112016  Add this file to your basket General
44,Fetal Period (Phase 1),Questionnaires,"Mother 1 (GR1001): medical and family history, previous pregnancies, quality of life, life style habits, housing conditions, ethnicity, educational level",G. Lifestyle of the biological father in the months preceding the pregancy,GR1001-G1-7_22112016  Add this file to your basket General
45,Fetal Period (Phase 1),Questionnaires,"Mother 1 (GR1001): medical and family history, previous pregnancies, quality of life, life style habits, housing conditions, ethnicity, educational level",H. Expectations concercing the pregnancy,GR1001-H_22112016  Add this file to your basket General
46,Fetal Period (Phase 1),Questionnaires,"Mother 1 (GR1001): medical and family history, previous pregnancies, quality of life, life style habits, housing conditions, ethnicity, educational level",I. Medical history of your family,GR1001-I3-16_22112016  Add this file to your basket General
47,Fetal Period (Phase 1),Questionnaires,"Mother 1 (GR1001): medical and family history, previous pregnancies, quality of life, life style habits, housing conditions, ethnicity, educational level",J. Background information,GR1001-J_22112016  Add this file to your basket General
48,Fetal Period (Phase 1),Questionnaires,"Mother 2 (GR1002): diet, including macronutrients and micronutrients",,FISHEPICCLASSIFICATION_22112016  Add this file to your basket General
49,Fetal Period (Phase 1),Questionnaires,"Mother 2 (GR1002): diet, including macronutrients and micronutrients",,MATERNALNUTRITION_22112016  Add this file to your basket General
